1606238979 2008 0 0 0
1606246180 3060 0 0 0
1606318264 3076 0 0 0
1606318446 3160 0 0 0
1606347910 3178 0 0 0
1606349652 3178 2592 0 0
1606349969 3178 2592 0 0
1606490764 3196 2592 0 0
1606569738 3196 2592 0 3788
1606657483 3196 6011 0 3788
1606657565 3196 6011 0 3788
1606657858 3196 6012 0 3788
1606743817 3196 6014 0 3788
1606753821 5383 6014 0 3788
1606772810 5383 6014 2973 3788
1606773080 5383 6014 3164 3788
1607359130 5429 6014 3164 3788
1607450920 5683 6014 3164 3788
1607549636 5962 6014 3164 3788
1607552932 6237 6014 3164 3788
1607553516 6270 6014 3164 3788
1607557125 6270 6014 7362 3788
1607604040 6270 6032 7362 3788
1607604654 6270 6033 7362 3788
1607612195 6270 6473 7362 3788
1607612927 6270 6473 7362 3788
1607614207 6271 6473 7362 3788
1607614241 6271 6473 7362 3788
1607614956 6271 6534 7362 3788
1607620117 6910 6534 7362 3788
1607620177 6910 6534 7362 3788
1607621790 7002 6534 7362 3788
1608137281 7142 6534 7362 3788
1608167878 7460 6534 7362 3788
1608213183 8167 6534 7362 3788
1608215587 8493 6534 7362 3788
1608218906 8636 6534 7362 3788
1608220070 8675 6534 7362 3788
1608220284 8937 6534 7362 3788
1608220338 8937 6534 7362 3788
1608220669 8954 6534 7362 3788
1608223066 9284 6534 7362 3788
1608223153 9433 6534 7362 3788
1608225915 9676 6534 7362 3788
1608244998 9676 6534 8249 3788
1608249171 55473 6534 8249 3788
1608249532 55474 6534 8249 3788
1608392495 55475 6534 8249 3788
1608394527 55477 6534 8249 3788
1608401383 56598 6534 8249 3788
1608473983 56598 86190 8249 3788
1608474358 56598 86190 8249 3788
1608476343 56644 86190 8249 3788
1608480598 56644 93149 8249 3788
1608511581 56847 93149 8249 3788
1608511720 56847 93149 8249 3788
