1606246180 74 0 0
1606318264 90 0 0
1606347910 92 0 0
1606349652 92 174 0
1606349969 92 174 0
1606569738 92 174 242
1606657483 92 416 242
1606753821 256 416 242
1607359130 290 416 242
1607450920 312 416 242
1607549636 390 416 242
1607552932 649 416 242
1607612195 649 430 242
1607612927 649 430 242
1607614956 649 491 242
1607620117 671 491 242
1607620177 671 491 242
1608137281 752 491 242
1608167878 802 491 242
1608213183 854 491 242
1608215587 901 491 242
1608218906 918 491 242
1608220070 953 491 242
1608249171 984 491 242
1608392495 985 491 242
1608394527 987 491 242
1608473983 987 812 242
1608474358 987 812 242
1608476343 1027 812 242
1608480598 1027 1203 242
