1606246180 1 0 0
1606318264 2 0 0
1606347910 3 0 0
1606349652 3 1 0
1606349969 3 2 0
1606569738 3 2 1
1606657483 3 3 1
1606753821 4 3 1
1607359130 5 3 1
1607450920 6 3 1
1607549636 7 3 1
1607552932 8 3 1
1607612195 8 4 1
1607612927 8 5 1
1607614956 8 6 1
1607620117 9 6 1
1607620177 10 6 1
1608137281 11 6 1
1608167878 12 6 1
1608213183 13 6 1
1608215587 14 6 1
1608218906 15 6 1
1608220070 16 6 1
1608249171 17 6 1
1608392495 18 6 1
1608394527 19 6 1
1608473983 19 7 1
1608474358 19 8 1
1608476343 20 8 1
1608480598 20 9 1
